역별 여객수송실적(월),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
연월,역명/열차종별,합계_승차수(명),합계_하차수(명),KTX_승차수(명),KTX_하차수(명),새마을_승차수(명),새마을_하차수(명),무궁화_승차수(명),무궁화_하차수(명)),통근열차_승차수(명),통근열차_하차수(명),누리로_승차수(명),누리로_하차수(명),KTX산천_승차수(명),KTX산천_하차수(명),ITX새마을_승차수(명),ITX새마을_하차수(명),ITX청춘열차_승차수(명),ITX청춘열차_하차수(명),KTX호남_승차수(명),KTX호남_하차수(명)
202002,충주,12602,12342,0,0,34,35,12510,12300,0,0,58,7,0,0,0,0,0,0,0,0
202002,삼탄,34,40,0,0,0,0,34,40,0,0,0,0,0,0,0,0,0,0,0,0
202002,아산,20121,18478,0,0,6009,5459,12616,11438,0,0,1496,1581,0,0,0,0,0,0,0,0
202002,온양온천,16624,15399,0,0,4286,3843,10835,10402,0,0,1503,1154,0,0,0,0,0,0,0,0
202002,신창,412,501,0,0,0,0,0,0,0,0,412,501,0,0,0,0,0,0,0,0
202002,도고온천,936,910,0,0,0,0,936,910,0,0,0,0,0,0,0,0,0,0,0,0
202002,신례원,2896,2927,0,0,169,198,2727,2729,0,0,0,0,0,0,0,0,0,0,0,0
202002,예산,15667,16069,0,0,4525,4855,11142,11214,0,0,0,0,0,0,0,0,0,0,0,0
202002,삽교,5719,5453,0,0,718,1053,5001,4400,0,0,0,0,0,0,0,0,0,0,0,0
202002,홍성,22993,23818,0,0,6697,7828,16296,15990,0,0,0,0,0,0,0,0,0,0,0,0
202002,광천,6168,6180,0,0,1811,2055,4357,4125,0,0,0,0,0,0,0,0,0,0,0,0
202002,청소,318,282,0,0,0,0,318,282,0,0,0,0,0,0,0,0,0,0,0,0
202002,대천,25138,25130,0,0,7628,8057,17510,17073,0,0,0,0,0,0,0,0,0,0,0,0
202002,웅천,3076,3024,0,0,845,893,2231,2131,0,0,0,0,0,0,0,0,0,0,0,0
202002,판교,882,814,0,0,0,0,882,814,0,0,0,0,0,0,0,0,0,0,0,0
202002,서천,5609,6023,0,0,1587,1793,4022,4230,0,0,0,0,0,0,0,0,0,0,0,0
202002,장항,2228,2217,0,0,701,702,1527,1515,0,0,0,0,0,0,0,0,0,0,0,0
202002,군산,7983,8554,0,0,2589,3150,5394,5404,0,0,0,0,0,0,0,0,0,0,0,0
202002,대야,177,165,0,0,0,0,177,165,0,0,0,0,0,0,0,0,0,0,0,0
202002,행신,38407,38027,25412,22202,0,0,0,0,0,0,0,0,12705,15825,0,0,0,0,290,0
202002,옥수,811,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,886,0,0
202002,왕십리,5903,9209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5903,9209,0,0
202002,청량리,148359,151437,0,0,48,54,64436,65595,0,0,0,0,0,0,3262,2600,43437,44739,37176,38449
202002,퇴계원,1480,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,951,0,0
202002,사릉,2168,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,932,0,0
202002,평내호평,26945,22268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26945,22268,0,0
202002,마석,2390,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,1291,0,0
202002,청평,4406,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4406,4765,0,0
202002,가평,18298,19318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18298,19318,0,0
202002,백양리,341,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,727,0,0
202002,강촌,1437,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,1414,0,0
202002,남춘천,47442,45190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47442,45190,0,0
202002,춘천,31554,31986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31554,31986,0,0
202002,옥산,492,367,0,0,0,0,492,367,0,0,0,0,0,0,0,0,0,0,0,0
202002,청리,193,190,0,0,0,0,193,190,0,0,0,0,0,0,0,0,0,0,0,0
202002,상주,1938,1910,0,0,0,0,1938,1910,0,0,0,0,0,0,0,0,0,0,0,0
202002,함창,256,217,0,0,0,0,256,217,0,0,0,0,0,0,0,0,0,0,0,0
202002,점촌,1668,1613,0,0,0,0,1668,1613,0,0,0,0,0,0,0,0,0,0,0,0
202002,용궁,146,112,0,0,0,0,146,112,0,0,0,0,0,0,0,0,0,0,0,0
202002,개포,309,54,0,0,0,0,309,54,0,0,0,0,0,0,0,0,0,0,0,0
202002,예천,569,630,0,0,0,0,569,630,0,0,0,0,0,0,0,0,0,0,0,0
202002,극락강,618,620,0,0,0,0,175,198,322,268,121,154,0,0,0,0,0,0,0,0
202002,광주,10443,10733,0,0,0,0,1448,2353,3477,3089,2434,2083,0,0,3084,3208,0,0,0,0
202002,봉화,520,596,0,0,3,2,517,594,0,0,0,0,0,0,0,0,0,0,0,0
202002,춘양,395,423,0,0,3,0,392,423,0,0,0,0,0,0,0,0,0,0,0,0
202002,임기,31,8,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0
202002,현동,38,62,0,0,0,0,38,62,0,0,0,0,0,0,0,0,0,0,0,0
202002,분천,2606,2592,0,0,1634,1495,972,1097,0,0,0,0,0,0,0,0,0,0,0,0
202002,양원,146,92,0,0,15,33,131,59,0,0,0,0,0,0,0,0,0,0,0,0
202002,승부,415,354,0,0,151,201,264,153,0,0,0,0,0,0,0,0,0,0,0,0
202002,석포,404,441,0,0,0,0,404,441,0,0,0,0,0,0,0,0,0,0,0,0
202002,철암,2233,2237,0,0,1339,1571,894,666,0,0,0,0,0,0,0,0,0,0,0,0
202002,동백산,593,634,0,0,0,0,593,634,0,0,0,0,0,0,0,0,0,0,0,0
202002,도계,1991,2020,0,0,0,0,1991,2020,0,0,0,0,0,0,0,0,0,0,0,0
202002,신기,60,49,0,0,0,0,60,49,0,0,0,0,0,0,0,0,0,0,0,0
202002,동해,3240,3359,0,0,0,0,3240,3359,0,0,0,0,0,0,0,0,0,0,0,0
202002,묵호,2755,2431,0,0,0,0,2755,2431,0,0,0,0,0,0,0,0,0,0,0,0
202002,정동진,3530,4391,0,0,0,0,3530,4391,0,0,0,0,0,0,0,0,0,0,0,0
